DATA_USCITA,ALTRO,DEGENZA CHIR GENERALE NO COVID,DEGENZA CHIR SPECIALISTICA NO COVID,DEGENZA COVID BASSA INTENSITA,DEGENZA MED GENERALE NO COVID,DEGENZA MED SPECIALISTICA NO COVID,DEGENZA ORDINARIA COVID,EMERGENZA-URGENZA,ORTOPEDIA,SOSPETTI COVID,SUB INTENSIVA COVID,SUB INTENSIVA NO COVID,TERAPIA INTENSIVA COVID,TERAPIA INTENSIVA NO COVID
2020-03-25,46.0,7.0,43.0,6.0,64.0,50.0,51.0,7.0,5.0,49.0,2.0,10.0,11.0,5.0
2020-03-26,53.0,10.0,36.0,8.0,84.0,45.0,45.0,3.0,2.0,36.0,6.0,11.0,8.0,2.0
2020-03-27,55.0,10.0,40.0,9.0,48.0,29.0,47.0,6.0,2.0,19.0,4.0,12.0,16.0,7.0
2020-03-28,32.0,7.0,32.0,5.0,35.0,24.0,43.0,7.0,1.0,42.0,8.0,5.0,9.0,1.0
2020-03-29,28.0,1.0,15.0,4.0,12.0,19.0,29.0,3.0,0.0,27.0,2.0,3.0,2.0,5.0
2020-03-30,65.0,9.0,29.0,12.0,54.0,37.0,48.0,6.0,3.0,38.0,2.0,6.0,12.0,5.0
2020-03-31,49.0,5.0,30.0,17.0,63.0,33.0,48.0,4.0,1.0,39.0,7.0,4.0,14.0,7.0
2020-04-01,50.0,8.0,29.0,12.0,51.0,35.0,61.0,4.0,1.0,39.0,5.0,4.0,7.0,5.0
2020-04-02,58.0,11.0,20.0,8.0,52.0,40.0,60.0,6.0,4.0,39.0,7.0,13.0,13.0,13.0
2020-04-03,61.0,9.0,37.0,7.0,58.0,38.0,54.0,4.0,5.0,29.0,12.0,9.0,11.0,8.0
2020-04-04,43.0,5.0,28.0,13.0,42.0,15.0,41.0,5.0,1.0,33.0,5.0,3.0,8.0,4.0
2020-04-05,27.0,5.0,19.0,6.0,14.0,18.0,31.0,1.0,0.0,28.0,1.0,1.0,3.0,6.0
2020-04-06,46.0,3.0,32.0,11.0,35.0,30.0,59.0,6.0,0.0,37.0,7.0,7.0,8.0,7.0
2020-04-07,42.0,1.0,28.0,8.0,50.0,35.0,62.0,7.0,2.0,32.0,6.0,9.0,11.0,7.0
2020-04-08,48.0,9.0,37.0,10.0,43.0,33.0,47.0,3.0,5.0,22.0,5.0,8.0,7.0,8.0
2020-04-09,53.0,5.0,32.0,6.0,36.0,36.0,51.0,4.0,1.0,34.0,6.0,7.0,8.0,6.0
2020-04-10,54.0,6.0,37.0,5.0,43.0,37.0,56.0,5.0,4.0,22.0,6.0,6.0,10.0,13.0
2020-04-11,44.0,8.0,31.0,5.0,35.0,34.0,41.0,8.0,5.0,30.0,6.0,8.0,10.0,12.0
2020-04-12,22.0,1.0,13.0,5.0,7.0,17.0,36.0,3.0,1.0,39.0,2.0,2.0,3.0,4.0
2020-04-13,29.0,3.0,12.0,5.0,17.0,17.0,32.0,4.0,2.0,34.0,1.0,0.0,3.0,3.0
2020-04-14,45.0,3.0,24.0,16.0,40.0,35.0,67.0,2.0,4.0,17.0,10.0,8.0,11.0,8.0
2020-04-15,29.0,12.0,31.0,14.0,40.0,25.0,53.0,6.0,4.0,29.0,10.0,10.0,14.0,6.0
2020-04-16,52.0,5.0,30.0,9.0,46.0,34.0,51.0,4.0,2.0,32.0,5.0,8.0,10.0,12.0
2020-04-17,53.0,9.0,39.0,6.0,43.0,45.0,70.0,7.0,6.0,30.0,5.0,11.0,10.0,12.0
2020-04-18,37.0,4.0,28.0,6.0,32.0,19.0,56.0,5.0,4.0,22.0,4.0,4.0,2.0,5.0
2020-04-19,20.0,1.0,20.0,2.0,3.0,15.0,45.0,4.0,2.0,19.0,1.0,3.0,5.0,4.0
2020-04-20,52.0,5.0,29.0,12.0,39.0,35.0,61.0,2.0,10.0,29.0,11.0,9.0,11.0,12.0
2020-04-21,31.0,1.0,52.0,6.0,48.0,33.0,57.0,4.0,3.0,27.0,6.0,8.0,13.0,9.0
2020-04-22,54.0,4.0,39.0,18.0,51.0,45.0,56.0,8.0,6.0,27.0,5.0,10.0,9.0,6.0
2020-04-23,52.0,9.0,50.0,3.0,46.0,46.0,47.0,8.0,0.0,30.0,4.0,9.0,9.0,7.0
2020-04-24,53.0,15.0,38.0,14.0,75.0,49.0,45.0,6.0,11.0,32.0,3.0,16.0,17.0,15.0
2020-04-25,43.0,7.0,30.0,9.0,18.0,21.0,38.0,2.0,4.0,34.0,1.0,5.0,6.0,8.0
2020-04-26,36.0,4.0,22.0,3.0,15.0,16.0,20.0,6.0,0.0,27.0,4.0,3.0,3.0,10.0
2020-04-27,31.0,11.0,36.0,12.0,55.0,31.0,53.0,3.0,8.0,28.0,1.0,15.0,10.0,10.0
2020-04-28,45.0,8.0,39.0,9.0,51.0,44.0,47.0,4.0,5.0,32.0,5.0,12.0,7.0,17.0
2020-04-29,63.0,14.0,30.0,9.0,54.0,40.0,50.0,5.0,4.0,22.0,7.0,14.0,7.0,16.0
2020-04-30,55.0,12.0,45.0,13.0,74.0,43.0,52.0,8.0,6.0,21.0,2.0,14.0,9.0,12.0
2020-05-01,36.0,7.0,28.0,6.0,7.0,25.0,26.0,9.0,1.0,23.0,7.0,3.0,5.0,5.0
2020-05-02,37.0,3.0,32.0,7.0,32.0,32.0,49.0,2.0,1.0,20.0,0.0,6.0,2.0,6.0
2020-05-03,23.0,5.0,16.0,2.0,13.0,10.0,39.0,3.0,0.0,15.0,2.0,2.0,1.0,11.0
